"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","GitHub, HabraHabr","2","17","yes","40"
"","HabraHabr","1","20","no","5"
"","StackOverflow, HabraHabr","1","17","no","15"
"","","2","23","yes",""
"","","2","7","no","10"
"","HabraHabr","0","16","yes","10"
"","StackOverflow, HabraHabr","0","12","no","16"
"","HabraHabr","0.25","15","no","5"
"","GitHub, StackOverflow, HabraHabr","1","12","no","100"
"","HabraHabr","0.5","18","no","1"
"","GitHub, StackOverflow, HabraHabr","1","10","yes","40"
"","HabraHabr","1","13","no","25"
"","StackOverflow, HabraHabr","0","19","no","40"
"","StackOverflow, HabraHabr","2","16","no","60"
"","StackOverflow, HabraHabr","3","15","no","6"
"","GitHub, StackOverflow, HabraHabr","4","15","yes","3"
"","","0.25","15","no","20"
"","HabraHabr","0","15","yes","10"
"","GitHub, StackOverflow, HabraHabr","3","14","no","80"
"","GitHub, StackOverflow, HabraHabr","1.75","15","no","3"
"","GitHub, StackOverflow","3","13","no","20"
"","HabraHabr","0","","no","30"
"","GitHub, StackOverflow, HabraHabr","4","16","no","120"
"","GitHub, StackOverflow, HabraHabr","1.5","19","yes","50"
"","","0","0","no",""
"","StackOverflow, HabraHabr","5","16","no","40"
"","StackOverflow, HabraHabr","1","14","yes","50"
"","StackOverflow, HabraHabr","0.5","17","no","50"
"","GitHub, StackOverflow, HabraHabr","1","12","no","20"
"","StackOverflow, HabraHabr","0","7","no","15"
"","HabraHabr","2","18","no","50"
"","","3","12","no","1"
"","HabraHabr","0.25","14","no","90"
"","GitHub, StackOverflow, HabraHabr","1","17","no","40"
"","StackOverflow","1.5","15","no","8"
"","StackOverflow","2","14","no","50"
"","GitHub, StackOverflow, HabraHabr","0.5","16","yes","6"
"","GitHub, StackOverflow, HabraHabr","3","18","no","20"
"","","0","15","no",""
"","HabraHabr","2.5","8","yes",""
"","StackOverflow, HabraHabr","2","13","no","20"
"","StackOverflow, HabraHabr","1","17","no","14"
