"","Какими из этих сайтов вы регулярно пользуетесь?","Сколько лет вы одновременно совмещали учебу в ВУЗе и работу в IT сфере?","В каком возрасте написали первую программу?","Работает/работал ли кто-нибудь из ваших родителей в IT секторе? (Или имеет техническое образование)","Сколько часов в месяц вы тратите на самообразование?"
"","GitHub, StackOverflow, HabraHabr","0","19","no","40"
"","StackOverflow","2","12","no","100"
"","StackOverflow","1","16","yes","20"
"","StackOverflow","0","25","no","40"
"","","2.5","14","no","10"
"","StackOverflow, HabraHabr","2","16","no","20"
"","HabraHabr","0.5","16","no","25"
"","StackOverflow, HabraHabr","0","16","no","30"
"","StackOverflow, HabraHabr","1.5","12","no","40"
"","HabraHabr","1","16","no","200"
"","StackOverflow, HabraHabr","2","10","no","70"
"","GitHub, StackOverflow","2","18","no","32"
"","GitHub, StackOverflow, HabraHabr","2","14","yes","40"
"","StackOverflow, HabraHabr","1","18","no","10"
"","StackOverflow, HabraHabr","0","20","no","50"
"","HabraHabr","0","28","no","90"
"","StackOverflow, HabraHabr","0.25","13","no","20"
"","StackOverflow, HabraHabr","0.5","16","no","20"
"","GitHub, StackOverflow, HabraHabr","2","18","no","4"
"","GitHub, StackOverflow","1","16","no","40"
"","StackOverflow, HabraHabr","1.5","14","no","60"
"","StackOverflow, HabraHabr","4","11","yes","5"
"","StackOverflow, HabraHabr","2","15","no","90"
"","GitHub, StackOverflow","3","17","no","50"
"","GitHub, StackOverflow","2","19","no","30"
"","GitHub, StackOverflow, HabraHabr","0","15","yes",""
"","GitHub, StackOverflow, HabraHabr","0","24","no","20"
"","StackOverflow, HabraHabr","2","15","yes",""
"","StackOverflow, HabraHabr","0","14","no","10"
"","HabraHabr","0","14","no","30"
"","HabraHabr","1","17","no","20"
"","","2","11","no","5"
"","StackOverflow, HabraHabr","3","13","no","16"
"","HabraHabr","2","14","no","40"
"","StackOverflow","3","17","yes","10"
"","StackOverflow, HabraHabr","1","16","no","15"
"","","0.5","20","no","20"
"","GitHub, StackOverflow, HabraHabr","1","20","no","10"
"","","0","12","no","20"
"","","0","16","no","5"
"","","2","15","yes","10"
"","","0.25","12","no","4"
"","HabraHabr","1","22","no","6"
"","StackOverflow, HabraHabr","0","13","no","0"
"","GitHub","2.5","13","no","60"
"","GitHub, HabraHabr","0","13","no","60"
"","","1","14","no",""
"","StackOverflow, HabraHabr","0","13","yes","40"
"","HabraHabr","1","17","no","8"
"","StackOverflow, HabraHabr","0","14","no","30"
"","GitHub, StackOverflow, HabraHabr","6","14","no","20"
"","GitHub, StackOverflow, HabraHabr","1","19","yes","100"
"","GitHub, StackOverflow, HabraHabr","0","10","yes","20"
"","GitHub, StackOverflow","3.5","9","yes","20"
"","StackOverflow, HabraHabr","0.75","16","yes","2"
"","GitHub, StackOverflow, HabraHabr","3","14","no","30"
"","StackOverflow, HabraHabr","1","17","yes","5"
"","GitHub, HabraHabr","1.25","15","no","20"
"","","0","12","no","20"
"","GitHub, HabraHabr","0","14","no","20"
"","GitHub, HabraHabr","4","15","no","60"
"","GitHub, StackOverflow","1","16","no","40"
"","StackOverflow, HabraHabr","2","20","no","1"
"","","0","15","no","3"
"","StackOverflow, HabraHabr","1","12","no","20"
"","HabraHabr","0","20","yes","20"
"","StackOverflow, HabraHabr","0.75","15","no","80"
"","StackOverflow, HabraHabr","0","21","no","30"
"","","0","12","no","30"
"","StackOverflow, HabraHabr","0","9","yes","8"
"","GitHub, StackOverflow","4","12","yes","40"
"","HabraHabr","0","15","no","24"
"","StackOverflow, HabraHabr","0.75","17","no","50"
"","","3","18","no","15"
"","StackOverflow","3","15","no",""
"","GitHub, HabraHabr","4","16","no","20"
"","","0","14","no","36"
"","","1","12","no",""
"","","0","12","yes","10"
"","GitHub, StackOverflow, HabraHabr","1.75","16","no","60"
"","HabraHabr","0.5","15","no","25"
"","","0","10","yes","10"
"","StackOverflow, HabraHabr","2","14","no",""
"","GitHub, StackOverflow, HabraHabr","2.5","16","no","26"
"","StackOverflow, HabraHabr","0.5","15","no","4"
"","StackOverflow","0","17","yes","30"
"","","0.25","14","yes","40"
"","HabraHabr","0.5","20","no","50"
"","HabraHabr","0","14","yes","18"
"","GitHub, StackOverflow, HabraHabr","0","14","yes","80"
"","GitHub, StackOverflow, HabraHabr","2","19","no","24"
"","StackOverflow, HabraHabr","4","17","no","5"
"","GitHub, StackOverflow, HabraHabr","5","10","yes","160"
"","GitHub, StackOverflow, HabraHabr","2.5","14","no","6"
"","StackOverflow, HabraHabr","0.5","17","no","5"
"","GitHub, StackOverflow, HabraHabr","3.5","18","no","40"
"","","0","14","yes","30"
"","","0.5","16","no","22"
"","GitHub, StackOverflow, HabraHabr","0.5","14","yes","10"
"","GitHub, StackOverflow, HabraHabr","0","16","no","20"
"","StackOverflow","0","17","no","30"
"","GitHub, StackOverflow","0.5","13","no","30"
"","StackOverflow","0","16","yes","10"
"","StackOverflow, HabraHabr","3.5","14","no","2"
"","GitHub, StackOverflow, HabraHabr","1","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","0.75","14","no","24"
"","","1.75","15","no","10"
"","StackOverflow","0","22","no",""
"","","0","17","yes","5"
"","StackOverflow, HabraHabr","3","18","no","14"
"","StackOverflow","2","13","no","0"
"","GitHub, StackOverflow, HabraHabr","1","14","no","20"
"","","0","19","yes","8"
"","StackOverflow","1","17","no","30"
"","StackOverflow, HabraHabr","6","15","no","20"
"","GitHub, StackOverflow, HabraHabr","1","14","yes","20"
"","HabraHabr","2","12","no","20"
"","HabraHabr","1","20","no","50"
"","GitHub, StackOverflow, HabraHabr","3","14","no","30"
"","StackOverflow, HabraHabr","1","12","no","60"
"","GitHub, StackOverflow, HabraHabr","1","15","no","12"
"","StackOverflow, HabraHabr","0","16","no","10"
"","StackOverflow, HabraHabr","2","15","no","30"
"","HabraHabr","1","16","no","60"
"","StackOverflow, HabraHabr","0","33","no","100"
"","","1","12","yes","12"
"","HabraHabr","0","0","","30"
"","GitHub, StackOverflow","2","13","yes","60"
"","","0","8","yes","60"
"","GitHub, StackOverflow","0.5","12","no","60"
"","","0.5","20","yes","40"
"","","0.5","13","no",""
"","GitHub","2","14","no","10"
"","HabraHabr","3","19","no","4"
"","StackOverflow, HabraHabr","2","16","no","8"
"","GitHub, StackOverflow, HabraHabr","1.5","12","no","100"
"","","1","15","no","14"
"","StackOverflow, HabraHabr","1.5","15","no","8"
"","GitHub, StackOverflow, HabraHabr","1","14","no","50"
"","StackOverflow, HabraHabr","1","20","yes","12"
"","StackOverflow","0","15","no","10"
"","","0","18","yes","10"
"","","0","13","no","80"
"","","0","16","no","10"
"","StackOverflow, HabraHabr","1.25","17","no","40"
"","GitHub, StackOverflow, HabraHabr","3","15","no","30"
"","StackOverflow, HabraHabr","3","13","no","30"
"","","1","0","","44"
"","","0","18","no","30"
"","StackOverflow, HabraHabr","3","12","no","50"
"","StackOverflow, HabraHabr","3","13","yes","10"
"","StackOverflow","2","17","no","40"
"","GitHub, HabraHabr","0.75","20","yes","1"
"","StackOverflow, HabraHabr","0.5","18","no","5"
"","StackOverflow, HabraHabr","0","12","no","0"
"","GitHub, HabraHabr","0","16","no","8"
"","GitHub, StackOverflow, HabraHabr","0","18","no",""
"","HabraHabr","1","14","yes","30"
"","GitHub, StackOverflow, HabraHabr","1","16","no","40"
"","StackOverflow, HabraHabr","1.5","17","no","30"
"","HabraHabr","5","14","no","36"
"","StackOverflow, HabraHabr","1","18","yes","10"
"","GitHub","2","21","no","20"
"","StackOverflow, HabraHabr","4","20","no","50"
"","StackOverflow, HabraHabr","0","14","no","0"
"","HabraHabr","0","15","no","30"
"","GitHub, StackOverflow, HabraHabr","0","22","no","16"
"","StackOverflow, HabraHabr","3","14","yes","200"
"","StackOverflow","2","20","no","10"
"","GitHub, StackOverflow, HabraHabr","1","16","no","120"
"","StackOverflow, HabraHabr","0","14","no","10"
"","StackOverflow, HabraHabr","0","12","no","20"
"","StackOverflow, HabraHabr","4","12","yes","10"
"","GitHub, StackOverflow, HabraHabr","0","11","yes","32"
"","","0","1","",""
"","","2.5","14","no","30"
"","StackOverflow, HabraHabr","1","15","yes","20"
"","GitHub, StackOverflow","2","16","no","8"
"","StackOverflow, HabraHabr","4","15","yes","40"
"","HabraHabr","0","22","yes","5"
"","StackOverflow, HabraHabr","0","17","yes","20"
"","HabraHabr","0.5","15","no","20"
"","","0","14","no","10"
"","GitHub","1","14","no","50"
"","StackOverflow","0.25","14","no","60"
"","GitHub, StackOverflow","2","17","no","60"
"","StackOverflow, HabraHabr","1","12","yes","32"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","45"
"","GitHub, HabraHabr","0","13","no","30"
"","StackOverflow, HabraHabr","3","16","no","10"
"","StackOverflow","0","18","yes","34"
"","","2","13","yes","20"
"","","0.25","23","no","8"
"","GitHub, StackOverflow, HabraHabr","2","15","no","10"
"","GitHub, StackOverflow, HabraHabr","5","10","yes","40"
"","StackOverflow, HabraHabr","0.5","16","no","50"
"","GitHub, StackOverflow, HabraHabr","0.25","11","no","38"
"","","2","14","yes","5"
"","GitHub, StackOverflow","3","14","yes","20"
"","StackOverflow, HabraHabr","2","16","no","30"
"","StackOverflow","0","14","no","20"
"","GitHub, StackOverflow","3","14","no","60"
"","HabraHabr","0","16","no",""
"","GitHub, StackOverflow, HabraHabr","3","17","no","60"
"","GitHub, StackOverflow, HabraHabr","4","15","no","40"
"","GitHub, StackOverflow, HabraHabr","6","7","yes","20"
"","StackOverflow","5","13","yes","30"
"","StackOverflow","0","15","no","0"
"","StackOverflow, HabraHabr","3","15","no","50"
"","StackOverflow, HabraHabr","0.5","17","no","1"
"","","0","16","yes","60"
"","GitHub, StackOverflow, HabraHabr","0","13","no","30"
"","","3","15","no","12"
"","GitHub, StackOverflow, HabraHabr","1.75","15","yes","26"
"","","0","15","no","12"
"","StackOverflow","1","22","no","30"
"","HabraHabr","1.5","20","no","20"
"","","0","","no","24"
"","HabraHabr","0","14","no","50"
"","","1","15","no",""
"","GitHub, StackOverflow","3","13","no","50"
"","GitHub, StackOverflow, HabraHabr","0.25","15","yes","20"
"","StackOverflow, HabraHabr","2","12","no","0"
"","","2","16","no","100"
"","GitHub, StackOverflow","2","17","yes","25"
"","StackOverflow, HabraHabr","0","12","yes",""
"","StackOverflow","0.5","23","no","60"
"","GitHub, StackOverflow","2","14","no","100"
"","GitHub, StackOverflow, HabraHabr","2","14","yes","60"
"","HabraHabr","0","16","no","60"
"","","0","16","no","40"
"","","2","15","no","40"
"","StackOverflow","0","10","yes","40"
"","GitHub, StackOverflow, HabraHabr","4","12","no","80"
"","GitHub, StackOverflow","0","18","yes","12"
"","StackOverflow, HabraHabr","1","16","yes","25"
"","StackOverflow, HabraHabr","3","15","no","120"
"","StackOverflow, HabraHabr","0","19","no","60"
"","StackOverflow","1.5","7","no","30"
"","","0","7","no","40"
"","StackOverflow, HabraHabr","0","17","yes","25"
"","StackOverflow, HabraHabr","1.5","15","no","20"
"","HabraHabr","4","16","yes","10"
"","GitHub, StackOverflow","5","15","no","40"
"","StackOverflow, HabraHabr","1","15","no","40"
"","StackOverflow","0","15","yes","20"
"","StackOverflow","3","13","no","30"
"","","0","18","no","4"
"","","1","7","yes",""
"","StackOverflow, HabraHabr","0","16","no","50"
"","GitHub, StackOverflow, HabraHabr","0.5","19","no","24"
"","GitHub, StackOverflow, HabraHabr","1.5","11","no","90"
"","GitHub, StackOverflow, HabraHabr","0","12","no","20"
"","StackOverflow, HabraHabr","2","18","no","25"
"","GitHub, StackOverflow, HabraHabr","1","17","no","140"
"","GitHub, StackOverflow, HabraHabr","1","20","no","38"
"","","0","22","no","50"
"","GitHub, StackOverflow, HabraHabr","1","16","no","50"
"","StackOverflow, HabraHabr","4","12","yes","100"
"","StackOverflow, HabraHabr","0","22","no","30"
"","StackOverflow","0.5","11","no","8"
"","GitHub, StackOverflow, HabraHabr","4","14","yes","60"
"","GitHub, StackOverflow, HabraHabr","1.75","12","yes","20"
"","","0","16","no","12"
"","GitHub, StackOverflow, HabraHabr","0","14","no","0"
"","HabraHabr","0","19","no","25"
"","","0","25","no","50"
"","GitHub, StackOverflow, HabraHabr","3","15","","8"
"","HabraHabr","0","11","no","6"
"","HabraHabr","0","13","no","30"
"","HabraHabr","0","18","yes","8"
"","GitHub, StackOverflow","1","15","no","5"
"","","0","25","yes","5"
"","GitHub, StackOverflow, HabraHabr","0.25","13","no","18"
"","StackOverflow, HabraHabr","3","11","no","20"
"","GitHub, StackOverflow","1","","yes","40"
"","","0","14","no","22"
"","GitHub, StackOverflow, HabraHabr","1.5","20","yes","0"
"","GitHub, StackOverflow, HabraHabr","1","20","no","4"
"","","1","15","yes","22"
"","StackOverflow","0","16","no","30"
"","GitHub, HabraHabr","0","18","no","80"
"","StackOverflow, HabraHabr","1.5","16","no","24"
"","StackOverflow, HabraHabr","1","16","no","2"
"","StackOverflow, HabraHabr","4","15","no","10"
"","GitHub, StackOverflow, HabraHabr","1","9","no","30"
"","GitHub, StackOverflow, HabraHabr","1","9","no","30"
"","HabraHabr","0.5","13","no","60"
"","GitHub, StackOverflow","1","12","no","50"
"","GitHub, StackOverflow, HabraHabr","1.5","16","no","15"
"","","0","14","no","60"
"","StackOverflow, HabraHabr","2","17","yes","40"
"","GitHub, StackOverflow","0","16","no","8"
"","HabraHabr","2","18","no","30"
"","GitHub, StackOverflow, HabraHabr","0","17","no","50"
"","HabraHabr","1","18","no","8"
"","HabraHabr","2","18","no","16"
"","GitHub, StackOverflow, HabraHabr","1","14","yes","20"
"","StackOverflow, HabraHabr","0","15","yes","20"
"","StackOverflow, HabraHabr","0.75","16","yes","30"
"","GitHub, StackOverflow, HabraHabr","0","19","no","8"
"","HabraHabr","2","14","yes","60"
"","StackOverflow, HabraHabr","3","16","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","25","no","10"
"","","2","9","no","15"
"","GitHub, StackOverflow, HabraHabr","1.5","21","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","19","no","20"
"","","1.75","15","no","12"
"","StackOverflow, HabraHabr","0.25","14","no","10"
"","HabraHabr","0","17","no","10"
"","GitHub, StackOverflow","1.25","20","no","35"
"","HabraHabr","0","17","no","2"
"","HabraHabr","0","15","no","82"
"","StackOverflow, HabraHabr","1","14","no","40"
"","GitHub, StackOverflow, HabraHabr","0","14","no","40"
"","GitHub, StackOverflow, HabraHabr","2","13","no","20"
"","","0.75","16","no","90"
"","StackOverflow, HabraHabr","4","18","no","38"
"","GitHub, StackOverflow, HabraHabr","0.5","14","yes","40"
"","StackOverflow, HabraHabr","3","16","yes","10"
"","GitHub, StackOverflow, HabraHabr","5","15","yes","12"
"","","1","23","no","12"
"","HabraHabr","1","26","yes","30"
"","GitHub, StackOverflow, HabraHabr","0","14","","75"
"","HabraHabr","0.5","16","no","30"
"","GitHub, StackOverflow, HabraHabr","1.5","13","yes","40"
"","HabraHabr","0","16","yes","60"
"","HabraHabr","1","20","no","20"
"","GitHub, HabraHabr","0.5","20","no","40"
"","StackOverflow","3","18","no","60"
"","GitHub, HabraHabr","0","17","no","20"
"","StackOverflow, HabraHabr","1","15","yes","35"
"","GitHub, StackOverflow, HabraHabr","1.5","15","no","10"
"","","1","18","no","2"
"","GitHub, StackOverflow, HabraHabr","0.5","18","no","40"
"","GitHub, StackOverflow, HabraHabr","0","18","no","80"
"","StackOverflow","2","14","no","50"
"","GitHub, StackOverflow, HabraHabr","0.5","16","yes","30"
"","HabraHabr","0","0","no","30"
"","HabraHabr","0","10","yes","20"
"","","1.5","","no","4"
"","","1.5","19","no","10"
"","StackOverflow","0","15","no","20"
"","HabraHabr","1.5","21","no","45"
"","","2.5","20","no","20"
"","","0","20","no","20"
"","GitHub, StackOverflow, HabraHabr","1.5","15","no","40"
"","","0","17","no",""
"","GitHub, StackOverflow, HabraHabr","0","14","no","20"
"","GitHub, StackOverflow, HabraHabr","1.5","6","no","20"
"","StackOverflow","0","14","yes","25"
"","HabraHabr","1","7","no","20"
"","","1","14","yes","5"
"","StackOverflow, HabraHabr","0.25","15","no","60"
"","","0","16","yes","15"
"","GitHub, StackOverflow, HabraHabr","3","12","no","20"
"","GitHub, StackOverflow","3","11","no","40"
"","StackOverflow, HabraHabr","0","10","no","5"
"","HabraHabr","0","17","no","10"
"","HabraHabr","0","0","no","20"
"","HabraHabr","0","14","no",""
"","","0","30","no","10"
"","StackOverflow","1","","no",""
"","GitHub, StackOverflow, HabraHabr","0","24","no","80"
"","HabraHabr","0","7","yes","26"
"","GitHub, StackOverflow, HabraHabr","3","25","no","150"
"","HabraHabr","0","15","no","10"
"","HabraHabr","1","18","no","30"
"","","0","18","no","10"
"","StackOverflow, HabraHabr","1.5","11","no","25"
"","GitHub, StackOverflow, HabraHabr","2","11","yes","45"
"","StackOverflow","0","14","no","40"
"","GitHub, StackOverflow","3.5","16","no","12"
"","HabraHabr","3","9","no","40"
"","GitHub, StackOverflow, HabraHabr","0","20","no","20"
"","GitHub, StackOverflow","2","16","no","40"
"","HabraHabr","0.5","13","yes","20"
"","StackOverflow, HabraHabr","1.25","16","no","32"
"","GitHub, StackOverflow, HabraHabr","2","24","yes","20"
"","StackOverflow, HabraHabr","3","15","no","30"
"","StackOverflow, HabraHabr","0","15","no","10"
"","GitHub, StackOverflow, HabraHabr","0.5","20","no","40"
"","StackOverflow","0","13","no","15"
"","","6","18","yes","30"
"","GitHub, StackOverflow, HabraHabr","3","16","no","20"
"","StackOverflow","0","14","yes","10"
"","GitHub, StackOverflow, HabraHabr","1.5","14","no","20"
"","","0.75","15","no","5"
"","HabraHabr","0","14","no","12"
"","StackOverflow, HabraHabr","2.5","12","yes","10"
"","StackOverflow","0","17","no","96"
"","GitHub, StackOverflow","3","7","no","0"
"","HabraHabr","3","14","no",""
"","StackOverflow, HabraHabr","1.5","17","yes","20"
"","StackOverflow, HabraHabr","1.25","15","no","40"
"","HabraHabr","1","16","no","10"
"","StackOverflow","2","18","","10"
"","HabraHabr","3","","",""
"","","0","25","no","30"
"","HabraHabr","1","15","yes","7"
"","HabraHabr","1","18","no","15"
"","GitHub, StackOverflow, HabraHabr","1","16","no","50"
"","GitHub","1","20","no","20"
"","HabraHabr","1.5","16","no","8"
"","StackOverflow, HabraHabr","0","14","no","20"
"","StackOverflow, HabraHabr","1","12","no","0"
"","HabraHabr","0","19","no","6"
"","GitHub, HabraHabr","0","18","no","40"
"","StackOverflow","3","10","no","30"
"","GitHub","3","16","yes","4"
"","StackOverflow, HabraHabr","1.75","13","yes","30"
"","GitHub, StackOverflow, HabraHabr","6","3","no","82"
"","StackOverflow","1.5","15","no","5"
"","StackOverflow","0","19","no","24"
"","StackOverflow, HabraHabr","1.75","16","yes","20"
"","GitHub, StackOverflow, HabraHabr","0.5","12","yes","24"
"","","0","15","yes","10"
"","StackOverflow, HabraHabr","2","16","no","24"
"","StackOverflow, HabraHabr","0","13","yes","2"
"","GitHub, StackOverflow, HabraHabr","2","12","no","30"
"","GitHub, StackOverflow, HabraHabr","2","20","no","60"
"","HabraHabr","1","12","yes","8"
"","GitHub, StackOverflow, HabraHabr","3","16","no","20"
"","","1","18","yes",""
"","StackOverflow, HabraHabr","1","16","yes","10"
"","GitHub, StackOverflow, HabraHabr","0","19","no","20"
"","","0","18","no","80"
"","","0","16","no","160"
"","HabraHabr","0","17","no",""
"","StackOverflow, HabraHabr","1","16","no","10"
"","HabraHabr","0","14","yes","12"
"","HabraHabr","0","9","yes","100"
"","","1.5","1","no",""
"","","1","13","no","32"
"","HabraHabr","0.5","19","no","20"
"","GitHub, StackOverflow","1","15","no","0"
"","GitHub, StackOverflow, HabraHabr","1","15","no","60"
"","HabraHabr","3","","no","168"
"","HabraHabr","1","14","no","5"
"","StackOverflow, HabraHabr","2","17","no","12"
"","HabraHabr","0","18","no","50"
"","","0","15","no","30"
"","GitHub, StackOverflow","1","17","no","20"
"","","0","1","no","24"
"","HabraHabr","2","14","no","30"
"","","1.5","10","yes","20"
"","StackOverflow, HabraHabr","3","10","yes","10"
"","HabraHabr","0","15","no","80"
"","HabraHabr","1.5","22","yes","40"
"","GitHub, StackOverflow, HabraHabr","2","12","no","40"
"","StackOverflow","0","23","yes","8"
"","GitHub, StackOverflow, HabraHabr","1","18","no","30"
"","GitHub, StackOverflow, HabraHabr","1.25","15","no","3"
"","HabraHabr","0.5","16","no","25"
"","GitHub, StackOverflow, HabraHabr","1.5","14","no","10"
"","HabraHabr","0","19","no","40"
"","GitHub, StackOverflow, HabraHabr","3","12","no","20"
"","GitHub, StackOverflow, HabraHabr","0","9","yes","45"
"","StackOverflow, HabraHabr","3","16","no","25"
"","HabraHabr","0","14","no","20"
"","StackOverflow, HabraHabr","0","15","no","20"
"","StackOverflow, HabraHabr","3.5","15","no","40"
"","","0","17","no","40"
"","","0","15","no","0"
"","","1","21","no","5"
"","","0","20","no","50"
"","HabraHabr","2","15","yes","10"
"","HabraHabr","0","22","no","40"
"","","0","","no","0"
"","GitHub, StackOverflow, HabraHabr","1","16","no","50"
"","GitHub, StackOverflow, HabraHabr","2","16","yes","20"
"","GitHub","3","18","no","25"
"","","0.5","15","no","12"
"","StackOverflow, HabraHabr","3","14","no","70"
"","HabraHabr","3","16","no","20"
"","HabraHabr","1.5","7","no","30"
"","","0","13","no","10"
"","HabraHabr","2","16","no","60"
"","HabraHabr","2","13","no","10"
"","StackOverflow, HabraHabr","3","14","no","50"
"","StackOverflow, HabraHabr","0.5","18","no","50"
"","StackOverflow","1","16","no","50"
"","HabraHabr","0","16","no","30"
"","","0","22","no",""
"","StackOverflow, HabraHabr","1.5","14","no","20"
"","HabraHabr","0.25","19","no","15"
"","GitHub, StackOverflow, HabraHabr","3","14","no","30"
"","","0","18","no","5"
"","HabraHabr","2","15","no","40"
"","StackOverflow, HabraHabr","3","13","yes","20"
"","","3","20","no","30"
"","StackOverflow, HabraHabr","2","15","no","30"
"","StackOverflow, HabraHabr","1.75","16","no","2"
"","StackOverflow, HabraHabr","1","12","no",""
"","HabraHabr","1","23","no","76"
"","","0","7","no","100"
"","HabraHabr","2","18","no","40"
"","HabraHabr","0","20","yes","150"
"","HabraHabr","1","16","no","68"
"","GitHub, HabraHabr","2","15","no","48"
"","GitHub","0","18","no","30"
"","GitHub, StackOverflow, HabraHabr","1.5","11","no","10"
"","HabraHabr","2","16","no","4"
"","GitHub, StackOverflow, HabraHabr","1","17","no","70"
"","StackOverflow","1","16","no","9"
"","HabraHabr","1","18","yes","15"
"","GitHub, StackOverflow, HabraHabr","1","9","yes","20"
"","","0","23","no","2"
"","StackOverflow, HabraHabr","0.5","16","no","60"
"","GitHub, StackOverflow, HabraHabr","0.5","15","no","60"
"","GitHub, StackOverflow, HabraHabr","2.5","18","no","20"
"","HabraHabr","4","15","yes","10"
"","HabraHabr","1","23","no","30"
"","StackOverflow, HabraHabr","0.5","13","no","50"
"","HabraHabr","3","60","no","0"
"","StackOverflow, HabraHabr","3.5","14","no","30"
"","GitHub, StackOverflow","0","15","no","20"
"","GitHub, StackOverflow, HabraHabr","2","8","no","40"
"","HabraHabr","0","1","no","30"
"","HabraHabr","0","13","no","5"
"","HabraHabr","2","13","yes","40"
"","","2","17","no","10"
"","","2","17","no","10"
"","GitHub, StackOverflow","0","14","no","20"
"","","4","13","no","30"
"","","0","","yes","20"
"","GitHub, StackOverflow, HabraHabr","4","12","no","50"
"","GitHub, StackOverflow, HabraHabr","1.5","17","no","8"
"","GitHub, StackOverflow, HabraHabr","2.5","20","no","152"
"","StackOverflow","3","17","no","30"
"","HabraHabr","0","1","yes","0"
"","","0","14","no",""
"","GitHub, StackOverflow, HabraHabr","0","18","no","2"
"","StackOverflow, HabraHabr","2","12","yes","30"
"","StackOverflow","1","16","no","5"
"","GitHub, StackOverflow, HabraHabr","0","17","no","24"
"","GitHub, StackOverflow, HabraHabr","0","17","no","14"
"","","4.5","14","no","5"
"","GitHub, StackOverflow, HabraHabr","0.75","15","no","NaN"
"","StackOverflow","0","16","no","2"
"","StackOverflow, HabraHabr","2","17","yes","40"
"","GitHub, StackOverflow, HabraHabr","0","15","yes","20"
"","GitHub, StackOverflow","2","25","no","92"
"","HabraHabr","1","18","no","10"
"","StackOverflow","0.75","14","no","20"
"","HabraHabr","2","19","no","3"
"","GitHub, StackOverflow, HabraHabr","2","20","no",""
"","GitHub, StackOverflow, HabraHabr","0","14","yes","40"
"","HabraHabr","1.5","20","no","100"
"","StackOverflow, HabraHabr","0.5","17","no","20"
"","","0.75","9","no","100"
"","GitHub","3","12","no","16"
"","HabraHabr","0","26","no","50"
"","HabraHabr","1","20","no","100"
"","StackOverflow, HabraHabr","3","16","no","15"
"","GitHub, StackOverflow, HabraHabr","6","12","no","20"
"","","3","15","yes","4"
"","","0.5","20","yes","30"
"","HabraHabr","0","","yes","2"
"","HabraHabr","0","15","no","10"
"","StackOverflow, HabraHabr","1","16","no","20"
"","","0","","",""
"","","0","14","no","40"
"","StackOverflow, HabraHabr","0","16","no","5"
"","GitHub, StackOverflow","2","15","yes","20"
"","GitHub, StackOverflow","0","13","yes","15"
"","StackOverflow","3","16","no","25"
"","GitHub, StackOverflow, HabraHabr","2","12","no","20"
"","HabraHabr","1.25","18","no","20"
"","GitHub, StackOverflow, HabraHabr","1.5","14","yes","12"
"","","1.5","10","yes","1"
"","","3","17","no","60"
"","","3","11","yes","20"
"","StackOverflow","0","18","no","12"
"","","1","17","no",""
"","","3","15","yes","5"
"","","0","0","no",""
"","StackOverflow, HabraHabr","1.5","17","no","2"
"","HabraHabr","4.5","29","no","24"
"","","0","23","no","32"
"","GitHub, StackOverflow, HabraHabr","6","11","no","40"
"","StackOverflow, HabraHabr","0.5","20","no","40"
"","HabraHabr","1","6","yes","24"
"","","6","10","yes","20"
"","GitHub, StackOverflow, HabraHabr","2","15","yes","30"
"","GitHub, StackOverflow, HabraHabr","2","14","yes","60"
"","HabraHabr","2","22","no","10"
"","GitHub, StackOverflow, HabraHabr","0","17","yes","720"
"","GitHub, HabraHabr","2","18","no","15"
"","GitHub, StackOverflow, HabraHabr","0","19","no","10"
"","GitHub, StackOverflow, HabraHabr","0.25","17","yes","6"
"","","0","17","yes","40"
"","","1","18","no","40"
"","GitHub, StackOverflow, HabraHabr","0","14","no","10"
"","","0","0","no","10"
"","","0","17","yes",""
"","StackOverflow","0","15","no","4"
"","","2","15","yes","10"
"","StackOverflow","2","18","no","4"
"","","0","15","no","60"
"","GitHub, StackOverflow, HabraHabr","0","15","no","20"
"","HabraHabr","4","18","no","2"
"","HabraHabr","0","0","yes","40"
"","","0","15","no","20"
"","StackOverflow, HabraHabr","2.5","12","yes","20"
"","","0.5","25","yes","20"
"","StackOverflow, HabraHabr","1.5","13","no","15"
"","StackOverflow, HabraHabr","4","14","no","20"
"","GitHub, StackOverflow","4","17","no","30"
"","GitHub, StackOverflow","1","10","yes","20"
"","StackOverflow","2","15","yes","30"
"","HabraHabr","0","16","yes","12"
"","GitHub, StackOverflow, HabraHabr","0.75","13","yes","20"
"","GitHub, StackOverflow, HabraHabr","0.75","17","no","40"
"","HabraHabr","1.5","13","yes","60"
"","StackOverflow, HabraHabr","0","14","no","40"
"","StackOverflow","0","14","no",""
"","GitHub, StackOverflow, HabraHabr","1","10","no","80"
"","HabraHabr","5","15","no","10"
"","","1.75","14","no","120"
"","HabraHabr","2","12","no","6"
"","StackOverflow, HabraHabr","2","11","no","16"
"","GitHub, StackOverflow, HabraHabr","3","16","no","30"
"","GitHub, StackOverflow, HabraHabr","0","15","no","20"
"","","0","16","no","4"
"","StackOverflow, HabraHabr","0","14","no","10"
"","GitHub, StackOverflow, HabraHabr","4","8","yes","40"
"","StackOverflow, HabraHabr","0","14","no","1"
"","StackOverflow","0","15","no","10"
"","StackOverflow","2","21","no","3"
